epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,31.1719,1.09517,1.08885,0.83147,0.02267,0.87179,0.19337,0.09656,0.88518,3.14234,0.85416,0.000386152,0.000386152,0.000386152
28,31.815,1.16911,1.06772,0.87869,0.02267,0.87179,0.19337,0.09656,0.88518,3.14234,0.85416,0.000395658,0.000395658,0.000395658
29,32.7561,1.05532,1.01739,0.85201,0.02267,0.87179,0.16356,0.09257,0.86577,3.11073,0.85207,0.000404768,0.000404768,0.000404768
30,33.581,0.95695,0.99547,0.82281,0.02267,0.87179,0.16356,0.09257,0.86577,3.11073,0.85207,0.000413482,0.000413482,0.000413482
31,34.4473,1.04892,1.05422,0.86263,0.02267,0.87179,0.20174,0.10815,0.81151,3.09389,0.84993,0.0004218,0.0004218,0.0004218
32,35.2775,0.94172,0.97295,0.84445,0.02267,0.87179,0.20174,0.10815,0.81151,3.09389,0.84993,0.000429722,0.000429722,0.000429722
33,35.9306,0.98901,0.93591,0.85617,0.022,0.84615,0.1992,0.10643,0.77301,3.07848,0.84798,0.000437248,0.000437248,0.000437248
34,36.4606,0.97137,0.87526,0.84246,0.022,0.84615,0.1992,0.10643,0.77301,3.07848,0.84798,0.000444378,0.000444378,0.000444378
35,37.0944,1.14203,0.99096,0.86074,0.02267,0.87179,0.15749,0.07885,0.80848,3.07648,0.85213,0.000451112,0.000451112,0.000451112
36,37.6309,1.15788,0.98994,0.8767,0.02267,0.87179,0.15749,0.07885,0.80848,3.07648,0.85213,0.00045745,0.00045745,0.00045745
37,38.2057,1.07213,0.98047,0.8688,0.02267,0.87179,0.09263,0.0607,0.86518,3.0682,0.85447,0.000463392,0.000463392,0.000463392
38,38.7239,0.98213,0.87036,0.85812,0.02267,0.87179,0.09263,0.0607,0.86518,3.0682,0.85447,0.000468938,0.000468938,0.000468938
39,39.3331,0.98733,0.87559,0.85634,0.022,0.84615,0.07456,0.05467,0.87509,3.03417,0.86461,0.000474088,0.000474088,0.000474088
40,39.8992,1.03143,0.88241,0.85733,0.022,0.84615,0.07456,0.05467,0.87509,3.03417,0.86461,0.000478842,0.000478842,0.000478842
41,40.5017,0.95835,0.88091,0.85128,0.022,0.84615,0.11801,0.10057,0.84503,2.99746,0.87477,0.0004832,0.0004832,0.0004832
42,41.0535,0.98516,0.90429,0.83738,0.022,0.84615,0.11801,0.10057,0.84503,2.99746,0.87477,0.000487162,0.000487162,0.000487162
43,41.6714,0.86877,0.85874,0.84409,0.022,0.84615,0.09659,0.0813,0.78828,2.98405,0.85121,0.000490728,0.000490728,0.000490728
44,42.1952,0.96128,0.85104,0.83259,0.022,0.84615,0.09659,0.0813,0.78828,2.98405,0.85121,0.000493898,0.000493898,0.000493898
45,42.7958,0.83151,0.858,0.84226,0.022,0.84615,0.05344,0.04133,0.79988,3.0009,0.85919,0.000496672,0.000496672,0.000496672
46,43.3466,0.79946,0.81071,0.83717,0.022,0.84615,0.05344,0.04133,0.79988,3.0009,0.85919,0.00049905,0.00049905,0.00049905
47,43.9498,0.8494,0.79753,0.83711,0.022,0.84615,0.09044,0.07745,0.78541,2.99648,0.8606,0.000501032,0.000501032,0.000501032
48,44.5211,0.86874,0.79271,0.83813,0.022,0.84615,0.09044,0.07745,0.78541,2.99648,0.8606,0.000502618,0.000502618,0.000502618
49,45.0981,0.91009,0.86389,0.84116,0.02267,0.87179,0.16531,0.13863,0.8111,2.94502,0.85555,0.000503808,0.000503808,0.000503808
50,45.6926,0.86304,0.75823,0.83382,0.02267,0.87179,0.16531,0.13863,0.8111,2.94502,0.85555,0.000504602,0.000504602,0.000504602
51,46.6521,0.94997,0.80553,0.82897,0.02333,0.89744,0.19159,0.16428,0.891,2.89188,0.85154,0.000505,0.000505,0.000505
52,47.451,0.96526,0.87663,0.85108,0.02333,0.89744,0.19159,0.16428,0.891,2.89188,0.85154,0.000505002,0.000505002,0.000505002
53,48.2625,0.89596,0.83887,0.82678,0.02333,0.89744,0.19159,0.16428,0.891,2.89188,0.85154,0.000504608,0.000504608,0.000504608
54,49.1109,1.07221,0.85427,0.85758,0.024,0.92308,0.23095,0.19828,0.85384,2.82748,0.85069,0.000503818,0.000503818,0.000503818
55,49.9815,0.90543,0.81285,0.81539,0.024,0.92308,0.23095,0.19828,0.85384,2.82748,0.85069,0.000502632,0.000502632,0.000502632
56,50.778,0.81363,0.77103,0.85598,0.024,0.92308,0.23095,0.19828,0.85384,2.82748,0.85069,0.00050105,0.00050105,0.00050105
57,51.5299,0.92251,0.79917,0.86472,0.024,0.92308,0.26208,0.2284,0.77614,2.76567,0.84728,0.000499072,0.000499072,0.000499072
58,52.3431,1.00795,0.79234,0.8627,0.024,0.92308,0.26208,0.2284,0.77614,2.76567,0.84728,0.000496698,0.000496698,0.000496698
59,52.865,0.83737,0.81305,0.85168,0.024,0.92308,0.26208,0.2284,0.77614,2.76567,0.84728,0.000493928,0.000493928,0.000493928
60,53.5469,0.96941,0.8465,0.84062,0.024,0.92308,0.34861,0.29203,0.77781,2.71838,0.84469,0.000490762,0.000490762,0.000490762
61,54.1948,0.86712,0.76337,0.83764,0.024,0.92308,0.34861,0.29203,0.77781,2.71838,0.84469,0.0004872,0.0004872,0.0004872
62,54.7059,0.93035,0.7628,0.82827,0.024,0.92308,0.34861,0.29203,0.77781,2.71838,0.84469,0.000483242,0.000483242,0.000483242
63,55.3775,1.00176,0.80893,0.84318,0.024,0.92308,0.43756,0.36241,0.79138,2.67265,0.84903,0.000478888,0.000478888,0.000478888
64,55.9415,0.79286,0.72555,0.8301,0.024,0.92308,0.43756,0.36241,0.79138,2.67265,0.84903,0.000474138,0.000474138,0.000474138
65,56.5785,0.87071,0.77851,0.80174,0.024,0.92308,0.43756,0.36241,0.79138,2.67265,0.84903,0.000468992,0.000468992,0.000468992
66,57.2189,0.7821,0.72011,0.83307,0.03696,0.64103,0.54688,0.44928,0.79959,2.62384,0.85699,0.00046345,0.00046345,0.00046345
67,57.8382,1.1022,0.8478,0.87572,0.03696,0.64103,0.54688,0.44928,0.79959,2.62384,0.85699,0.000457512,0.000457512,0.000457512
68,58.4106,0.87631,0.81267,0.84048,0.03696,0.64103,0.54688,0.44928,0.79959,2.62384,0.85699,0.000451178,0.000451178,0.000451178
69,58.9972,0.76986,0.76467,0.83392,0.91308,0.53846,0.61548,0.50574,0.77313,2.57153,0.85307,0.000444448,0.000444448,0.000444448
70,59.6379,0.82524,0.78013,0.8089,0.91308,0.53846,0.61548,0.50574,0.77313,2.57153,0.85307,0.000437322,0.000437322,0.000437322
71,60.5262,0.86815,0.73711,0.83748,0.91308,0.53846,0.61548,0.50574,0.77313,2.57153,0.85307,0.0004298,0.0004298,0.0004298
72,61.407,0.87168,0.76429,0.8366,1,0.44094,0.67217,0.53611,0.75793,2.51591,0.84712,0.000421882,0.000421882,0.000421882
73,62.2776,0.99057,0.78426,0.85487,1,0.44094,0.67217,0.53611,0.75793,2.51591,0.84712,0.000413568,0.000413568,0.000413568
74,63.1926,0.77547,0.7441,0.82343,1,0.44094,0.67217,0.53611,0.75793,2.51591,0.84712,0.000404858,0.000404858,0.000404858
75,63.9752,0.99099,0.76577,0.81959,1,0.23643,0.76339,0.58444,0.77866,2.4472,0.85068,0.000395752,0.000395752,0.000395752
76,64.5313,0.76056,0.70269,0.81629,1,0.23643,0.76339,0.58444,0.77866,2.4472,0.85068,0.00038625,0.00038625,0.00038625
77,65.1486,0.81293,0.74024,0.8245,1,0.23643,0.76339,0.58444,0.77866,2.4472,0.85068,0.000376352,0.000376352,0.000376352
78,65.7399,0.81719,0.73016,0.80572,1,0.166,0.82925,0.64236,0.76785,2.35159,0.85294,0.000366058,0.000366058,0.000366058
79,66.3219,0.88507,0.7453,0.8274,1,0.166,0.82925,0.64236,0.76785,2.35159,0.85294,0.000355368,0.000355368,0.000355368
80,66.934,0.92549,0.82883,0.84381,1,0.166,0.82925,0.64236,0.76785,2.35159,0.85294,0.000344282,0.000344282,0.000344282
81,67.549,0.7377,0.70392,0.83053,1,0.20953,0.84953,0.66682,0.74507,2.26761,0.85319,0.0003328,0.0003328,0.0003328
82,68.1162,0.6955,0.68263,0.80337,1,0.20953,0.84953,0.66682,0.74507,2.26761,0.85319,0.000320922,0.000320922,0.000320922
83,68.699,0.88537,0.73247,0.85313,1,0.20953,0.84953,0.66682,0.74507,2.26761,0.85319,0.000308648,0.000308648,0.000308648
84,69.3067,0.82209,0.72868,0.80774,1,0.31117,0.85898,0.68927,0.72659,2.19807,0.85607,0.000295978,0.000295978,0.000295978
85,69.8706,0.69864,0.68696,0.80902,1,0.31117,0.85898,0.68927,0.72659,2.19807,0.85607,0.000282912,0.000282912,0.000282912
86,70.4515,0.9963,0.7609,0.8773,1,0.31117,0.85898,0.68927,0.72659,2.19807,0.85607,0.00026945,0.00026945,0.00026945
87,71.0362,0.6909,0.67718,0.81968,1,0.31117,0.85898,0.68927,0.72659,2.19807,0.85607,0.000255592,0.000255592,0.000255592
88,71.7098,0.78155,0.79957,0.82909,1,0.4466,0.88836,0.71562,0.74557,2.0986,0.87439,0.000241338,0.000241338,0.000241338
89,72.3138,0.76023,0.68864,0.8259,1,0.4466,0.88836,0.71562,0.74557,2.0986,0.87439,0.000226688,0.000226688,0.000226688
90,72.8558,0.91893,0.78114,0.84544,1,0.4466,0.88836,0.71562,0.74557,2.0986,0.87439,0.000211642,0.000211642,0.000211642
91,74.8363,0.73664,0.80372,0.81803,1,0.4466,0.88836,0.71562,0.74557,2.0986,0.87439,0.0001962,0.0001962,0.0001962
92,77.3131,0.7868,0.82258,0.86171,1,0.50865,0.89117,0.71064,0.75012,2.01498,0.87728,0.000180362,0.000180362,0.000180362
93,78.3228,0.75697,0.75141,0.85311,1,0.50865,0.89117,0.71064,0.75012,2.01498,0.87728,0.000164128,0.000164128,0.000164128
94,78.9906,0.72187,0.72949,0.81286,1,0.50865,0.89117,0.71064,0.75012,2.01498,0.87728,0.000147498,0.000147498,0.000147498
95,79.5174,0.64942,0.73812,0.82183,1,0.50865,0.89117,0.71064,0.75012,2.01498,0.87728,0.000130472,0.000130472,0.000130472
96,80.0891,0.7543,0.76712,0.84946,1,0.6087,0.89195,0.71261,0.75052,1.91955,0.8809,0.00011305,0.00011305,0.00011305
97,80.7178,0.69066,0.70992,0.79601,1,0.6087,0.89195,0.71261,0.75052,1.91955,0.8809,9.5232e-05,9.5232e-05,9.5232e-05
98,81.2934,0.7636,0.79093,0.80748,1,0.6087,0.89195,0.71261,0.75052,1.91955,0.8809,7.7018e-05,7.7018e-05,7.7018e-05
99,81.9139,0.67172,0.70139,0.82904,1,0.6087,0.89195,0.71261,0.75052,1.91955,0.8809,5.8408e-05,5.8408e-05,5.8408e-05
100,82.5015,0.76485,0.73763,0.82401,1,0.73523,0.89515,0.71055,0.74458,1.80054,0.8762,3.9402e-05,3.9402e-05,3.9402e-05
